acc_D,acc_G,loss_D,loss_G
0.9375,0.0,0.39871275424957275,1.3313825130462646
0.953125,0.0,0.45576930046081543,1.2542688846588135
0.921875,0.0,0.45614105463027954,1.1936769485473633
0.953125,0.0,0.4841541647911072,1.1522773504257202
0.953125,0.0,0.47825103998184204,1.0979702472686768
0.9375,0.0,0.49409782886505127,1.0817406177520752
0.9375,0.0,0.5012596845626831,1.0662224292755127
0.921875,0.0,0.520991325378418,0.9928838014602661
0.9375,0.0,0.5255823135375977,0.9575605392456055
0.9375,0.03125,0.5526469945907593,0.9270558953285217
0.96875,0.0,0.5408180952072144,0.9190428256988525
0.921875,0.125,0.5729326009750366,0.8681834936141968
0.9375,0.15625,0.5639406442642212,0.8420289754867554
0.90625,0.03125,0.5755636692047119,0.8611714839935303
0.875,0.125,0.6110514402389526,0.7904495000839233
0.859375,0.15625,0.6036812663078308,0.7950334548950195
0.796875,0.375,0.6045373678207397,0.7418285608291626
0.875,0.25,0.5957561731338501,0.7907363176345825
0.875,0.375,0.6000570058822632,0.7525222897529602
0.796875,0.4375,0.6089666485786438,0.7361826300621033
0.71875,0.46875,0.6393648386001587,0.7229966521263123
0.734375,0.375,0.620269238948822,0.7296700477600098
0.703125,0.59375,0.6347155570983887,0.6960803866386414
0.703125,0.59375,0.6379291415214539,0.681718111038208
0.734375,0.625,0.6281044483184814,0.6608002781867981
0.625,0.46875,0.6536412835121155,0.6994304656982422
0.53125,0.6875,0.682079017162323,0.6807275414466858
0.734375,0.625,0.637053370475769,0.6614902019500732
0.59375,0.625,0.6676154136657715,0.67177414894104
0.5,0.90625,0.6800909042358398,0.5881039500236511
0.546875,0.59375,0.6834852695465088,0.6550030708312988
0.625,0.6875,0.6597692966461182,0.6326676607131958
0.546875,0.625,0.6888502836227417,0.6598167419433594
0.515625,0.6875,0.6791208982467651,0.6394456624984741
0.546875,0.71875,0.6947796940803528,0.6356518268585205
0.609375,0.46875,0.6650532484054565,0.7049360275268555
0.5625,0.875,0.6887319087982178,0.5808656215667725
0.59375,0.75,0.681414008140564,0.6271727681159973
0.578125,0.75,0.6868360638618469,0.6398220658302307
0.515625,0.71875,0.6940336227416992,0.6279489398002625
0.40625,0.71875,0.730131983757019,0.593974769115448
0.546875,0.8125,0.6880818605422974,0.5930417776107788
0.5,0.84375,0.6946139335632324,0.5862390398979187
0.453125,0.84375,0.697761058807373,0.5945439338684082
0.453125,0.84375,0.7134839296340942,0.5825485587120056
0.546875,0.6875,0.6979104280471802,0.6543920040130615
0.53125,0.59375,0.7016433477401733,0.6654542684555054
0.515625,0.875,0.6966242790222168,0.6011671423912048
0.515625,0.8125,0.7025628685951233,0.6084649562835693
0.4375,0.78125,0.7162627577781677,0.6120316982269287
0.484375,0.5,0.6980102062225342,0.6621172428131104
0.5,0.90625,0.7161394357681274,0.5851259231567383
0.46875,0.84375,0.7071861028671265,0.6071077585220337
0.546875,0.9375,0.6994464993476868,0.5812604427337646
0.453125,0.71875,0.7173358798027039,0.6301776766777039
